Date,Transaction_Type,Category,Subcategory,Amount_EUR,Currency,Payment_Method,Client_ID,Product_SKU,Quantity,Unit_Price,Discount_Percent,Tax_Rate,Invoice_Number,Status,Notes
2024-10-01,Revenue,Hardware,Neural_Processors,8599.98,EUR,Bank_Transfer,CLI-FR-00432,NC-X9000-2025,2,4299.99,10,20,INV-2024-10001,Paid,Enterprise client - quarterly bulk order
2024-10-03,Revenue,Software,Annual_License,87112.50,EUR,Credit_Card,CLI-DE-00198,CSAP-2025-ENT,1,87112.50,0,20,INV-2024-10002,Paid,3-year contract signed
2024-10-05,Expense,Operations,Cloud_Infrastructure,12847.32,EUR,Direct_Debit,VEN-AWS-001,AWS-EC2-COMPUTE,1,12847.32,0,20,BILL-AWS-OCT-001,Paid,EC2 instances + S3 storage October
2024-10-07,Revenue,Services,Consulting,15600.00,EUR,Bank_Transfer,CLI-FR-00089,SVC-CONSULT-2024,80,195.00,0,20,INV-2024-10003,Paid,On-site training and implementation - 80 hours @ 195 EUR/h
2024-10-08,Expense,HR,Payroll,247893.45,EUR,Bank_Transfer,EMP-PAYROLL-OCT,PAYROLL-OCT-2024,1,247893.45,0,0,PAY-2024-10,Paid,Monthly salaries for 87 employees
2024-10-10,Revenue,Hardware,IoT_Sensors,3794.85,EUR,Credit_Card,CLI-BE-00567,SS-T300-IND,20,189.99,5,21,INV-2024-10004,Paid,SmartSensor temperature - 20 packs of 10
2024-10-12,Expense,Marketing,Digital_Advertising,8942.67,EUR,Credit_Card,VEN-GOOGLE-ADS,GOOGLE-ADS-OCT,1,8942.67,0,20,BILL-GADS-OCT-001,Paid,Google Ads campaign October - 125K impressions
2024-10-14,Revenue,Software,Monthly_Subscription,3200.00,EUR,Direct_Debit,CLI-CH-00234,CSAP-2025-ENT,1,3200.00,0,20,INV-2024-10005,Paid,Tier 2 monthly billing
2024-10-15,Expense,Operations,Office_Rent,18500.00,EUR,Bank_Transfer,VEN-IMMO-PARIS,RENT-PARIS-8EME,1,18500.00,0,0,RENT-OCT-2024,Paid,4500 sqm office space Avenue des Champs-Elysees
2024-10-17,Revenue,Hardware,Storage_Systems,12750.00,EUR,Bank_Transfer,CLI-NL-00345,DV-P5000-ENT,1,12750.00,0,21,INV-2024-10006,Paid,DataVault Pro 5000 annual license
2024-10-18,Expense,IT,Software_Licenses,4832.18,EUR,Credit_Card,VEN-MICROSOFT-001,MSFT-O365-E5,87,55.54,0,20,BILL-MSFT-OCT-001,Paid,Office 365 E5 licenses - 87 users
